TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2023,23.6,29.8,26.3,87.0,14.5,0,4.0,320.0,1.0,C 
02-01-2023,24.2,29.4,27.5,81.0,31.5,0.7,4.0,320.0,2.0,NW
03-01-2023,25,29.6,26.6,82.0,0.5,0,6.0,316.0,1.0,C 
04-01-2023,24.4,30.0,26.4,86.0,2.4,-,5.0,316.0,1.0,C 
05-01-2023,24,32.6,27.4,83.0,35.3,-,4.0,317.0,2.0,C 
06-01-2023,24.4,33.4,29.6,68.0,2.3,2.2,4.0,316.0,1.0,C 
07-01-2023,27,33.8,29.6,70.0,0,6.2,4.0,340.0,2.0,C 
08-01-2023,26.6,32.0,28.1,76.0,8888,8,8.0,320.0,2.0,C 
09-01-2023,-,32.6,29.0,73.0,8888,3.8,5.0,320.0,3.0,NW
10-01-2023,27.2,34.4,30.1,65.0,8888,5,6.0,320.0,1.0,C 
11-01-2023,26.2,32.0,28.8,73.0,0,5,4.0,320.0,1.0,C 
12-01-2023,-,32.4,29.1,71.0,-,0,3.0,320.0,0.0,C 
13-01-2023,25,32.6,29.2,74.0,-,8.3,5.0,320.0,1.0,C 
14-01-2023,26.8,32.0,29.2,72.0,8888,4.5,3.0,300.0,1.0,C 
15-01-2023,26.4,34.8,29.8,69.0,0,6.4,4.0,260.0,2.0,NW
16-01-2023,26.4,32.4,28.9,70.0,-,6.5,4.0,320.0,1.0,C 
17-01-2023,26,29.4,27.6,77.0,-,1.2,5.0,290.0,1.0,C 
18-01-2023,26.2,31.6,27.7,78.0,0,0,7.0,317.0,1.0,C 
19-01-2023,25.8,30.8,27.5,81.0,3,1,6.0,250.0,2.0,W 
20-01-2023,26,32.4,28.6,72.0,8888,2.4,3.0,290.0,1.0,C 
21-01-2023,25,31.8,28.6,74.0,8888,3,8.0,320.0,2.0,C 
22-01-2023,26.4,33.4,29.2,71.0,0,5,6.0,250.0,2.0,W 
23-01-2023,26,32.2,28.6,70.0,0,6,3.0,270.0,2.0,W 
24-01-2023,26,34.0,29.1,71.0,-,3.2,7.0,320.0,2.0,C 
25-01-2023,25,30.2,27.2,78.0,8888,5.5,4.0,316.0,1.0,C 
26-01-2023,26.2,30.4,27.8,79.0,8888,0,3.0,280.0,1.0,C 
27-01-2023,26,29.6,27.6,80.0,27.5,2.4,5.0,310.0,1.0,C 
28-01-2023,24.5,28.8,25.6,94.0,26.9,0,3.0,310.0,0.0,C 
29-01-2023,24,29.2,26.7,86.0,27,0,6.0,290.0,1.0,C 
30-01-2023,25,30.2,28.0,76.0,8888,0,5.0,320.0,1.0,C 
31-01-2023,-,29.2,27.8,80.0,-,3,3.0,280.0,1.0,C 
